"License No.","Business Name",DBA,"License Type",City,County,Expiration
DAAA-MAET-OO1Z,"THE RESERVE CANNABIS COMPANY LLC","THE RESERVE CANNABIS COMPANY",Dispensary,HUGO,Choctaw,2023-08-15
DAAA-V1QW-MAKW,"The Green Jackpot LLC","Meds and Wares",Dispensary,NORMAN,Cleveland,2023-08-08
DAAA-EYXA-AXR3,"Affordable Medical Inc.","Affordable Medical Inc.",Dispensary,PRYOR,Mayes,2023-10-05
DAAA-AEAC-EZGV,"T and C HOLDINGS LLC","'64 FARMS",Dispensary,ADA,Pontotoc,2023-12-19
DAAA-GOQR-T86K,"Big Jerry's Buds co.","Big Jerry's Buds Co.",Dispensary,Turpin,Beaver,2024-03-08
DAAA-VYHB-OGYW,"Covey Rise, LLC","The Wellness Pharm",Dispensary,TULSA,Tulsa,2023-10-16
DAAA-FH5Y-WEWQ,"Magic Grass, LLC","Division Street Dispensary",Dispensary,GUTHRIE,Logan,2023-08-04
DAAA-NYVZ-1F9F,"Bella Flores Marijuana Medical Dispensary Co.","Dank's Wellness Emporium Blanchard",Dispensary,BLANCHARD,McClain,2023-12-11
DAAA-N1EV-KJ7W,"Wild Flower Medical Marijuana Dispensary LLC","Wild Flower Medical Marijuana Dispensary",Dispensary,"SAND SPRINGS",Tulsa,2024-02-03
DAAA-PYBB-YOHG,"Jessica Boike","Choices Dispensary",Dispensary,"PONCA CITY",Kay,2023-08-11
DAAA-VYUU-SMMR,"Affordable Medical Inc","Affordable Medical Inc",Dispensary,TULSA,Tulsa,2023-11-08
DAAA-4JB6-1X4N,"Preme Cannabis Company, LLC","Preme Cannabis Company, LLC",Dispensary,TULSA,Tulsa,2024-01-12
DAAA-VYJT-AHE8,"NKO Retail #2, LLC","Nature's Kiss",Dispensary,TULSA,Tulsa,2023-10-05
DAAA-FEFA-4ZBB,"Good Green Co. LLC","Crimson Greenery Dispensary",Dispensary,"Pauls Valley",Garvin,2023-10-18
DAAA-21QC-4Z3S,"The Medicine Pouch LLC","The Medicine Pouch",Dispensary,Ada,Pontotoc,2023-08-07
DAAA-LG0Q-UPVG,"Waterloo Dispensary, LLC","Lotus Gold Waterloo",Dispensary,Edmond,Logan,2023-09-19
DAAA-BNSD-RCHX,"CANNON CUSH LLC.","Cannon Cush Dispensary",Dispensary,Antlers,Pushmataha,2023-10-10
DAAA-NKXF-5M39,"GFAW, Inc.","Lucky Monkey Buds",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-04-27
DAAA-T7BX-FRCQ,"Green Room East Dispensary, LLC","Green Room East Dispensary, LLC",Dispensary,TULSA,Tulsa,2023-10-13
DAAA-4J6G-QSZ2,"Health ExpressNo. 2-T, LLC","Health ExpressNo. 2-T, LLC",Dispensary,KINGFISHER,Kingfisher,2024-02-03
DAAA-LR2J-NOD6,"19EK82 INVESTMENTS, LLC","GRAND AVE HAZE",Dispensary,ENID,Garfield,2023-11-13
DAAA-VJOS-SLOR,"Puffin Cannabis LLC","Puffin Cannabis LLC",Dispensary,Edmond,Oklahoma,2024-03-14
DAAA-EK8O-DFJP,"Captain and Captain, Inc.","T Nugs World of Cannabis",Dispensary,CLAREMORE,Rogers,2023-09-04
DAAA-419G-0CPR,"PONCA ORGANIC L.L.C.","STILLWATER DISPENSARY",Dispensary,STILLWATER,Payne,2024-03-03
DAAA-KCTH-SRHF,"Keisha's Candy Shop Cannabis Company, LLC","Keisha's Candy Shop Cannabis Company, LLC",Dispensary,TULSA,Tulsa,2024-05-29
DAAA-EK95-8LU8,"The Grasslands Cannabis Dispensary, LLC","Fun Factory Dispensary",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-03-29
DAAA-QZKM-GFLO,"Cloud 9 Wellness Dispensary LLC","Cloud 9 Wellness Dispensary LLC",Dispensary,"Warr Acres",Oklahoma,2024-05-19
DAAA-G82J-JQIO,"Amazing Strainz LLC","Amazing Strainz",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-08-09
DAAA-TCXV-FF1K,"Vera Dispensary LLC","Okie Wonderland Owasso",Dispensary,OWASSO,Tulsa,2023-07-07
DAAA-EQSY-8AZZ,"High Girls Dispensary LLC","High Girls Dispensary",Dispensary,EDMOND,Oklahoma,2023-07-06
DAAA-4K5F-TSQR,"Oklahoma Natural Cures, LLC","High Society Dispensary 1",Dispensary,"WARR ACRES",Oklahoma,2024-03-27
DAAA-VYTL-K6UO,"Nicole Dawn Bratcher","The Valley Weed Shop",Dispensary,Tuskahoma,Latimer,2024-05-19
DAAA-O3UG-E3JK,"OHG, LLC","OHG, LLC",Dispensary,"Sand Springs",Tulsa,2023-12-05
DAAA-N1DT-3FKW,"420 Green Grass Corporation","420 Green Grass Corporation",Dispensary,ARDMORE,Carter,2024-02-14
DAAA-41VC-KGOV,"New Leaf Medicinals LLC","New Leaf Medicinals LLC",Dispensary,CHICKASHA,Grady,2024-03-08
DAAA-5WAS-RRBE,"Giggling Bud Corporation","Giggling Bud Corporation",Dispensary,Wagoner,Wagoner,2023-01-02
DAAA-TGBR-THLU,"The Bud Shop, Inc.","The Bud Shop",Dispensary,ROLAND,Sequoyah,2023-12-18
DAAA-EYRM-MU0G,"WGC LLC","Lifted Muskogee",Dispensary,MUSKOGEE,Muskogee,2024-05-10
DAAA-OUH7-FSWN,"Emerald Triangle, LLC","Emerald Triangle, LLC",Dispensary,"Locust Grove",Mayes,2024-06-02
DAAA-EZI4-8LQZ,"918 Buds Medical Marijuana Dispensary LLC","918 Buds Medical Marijuana Dispensary",Dispensary,TULSA,Tulsa,2024-05-30
DAAA-KO65-KUJO,"Green Supreme Medical Marijuana Dispensary 2, LLC","Full Circle Dispensary",Dispensary,EDMOND,Logan,2024-02-22
DAAA-8R8W-AIFU,"Naked Native, LLC","Naked Native, LLC",Dispensary,MEAD,Bryan,2023-07-07
DAAA-EKYL-GKOP,"Blooms Industry","Blooms Dispensary",Dispensary,LAWTON,Comanche,2023-10-04
DAAA-EYAJ-LV2L,"Blazin' Budz LLC","Blazin' Budz LLC",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-03-21
DAAA-VKLY-R8GB,"Top Notch Cannabis Dispensary LLC","Highly Green Dispensary",Dispensary,"WARR ACRES",Oklahoma,2023-11-03
DAAA-ZEDQ-IWGF,"C-4 BUDZ LLC","C-4 BUDZ",Dispensary,LAWTON,Comanche,2023-07-05
DAAA-4YG4-0ZIB,"Native Harvest LLC","Native Harvest LLC",Dispensary,NORMAN,Cleveland,2023-11-13
DAAA-VQZI-VU0X,"Terry0528, LLC","Capital Dank Rockwell",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-03-23
DAAA-HFEF-9YPP,"ZaZa Dispensary, LLC","ZaZa Dispensary, LLC",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-02-14
DAAA-GEJX-AHAL,"Genensis Grow LLC","City Budz by Treehouse Dispesary",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-10-03
DAAA-EYR5-HMEW,"Dizory LLC","Green Plus Store 11",Dispensary,NORMAN,Cleveland,2023-12-11
DAAA-NYPQ-VCBZ,"KC GREEN BUD LLC","KC GREEN BUD LLC",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-12-27
DAAA-TY4K-CYXJ,"OklaDispo 36th Street, LLC","The Peak 36th Street Dispensary",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-10-04
DAAA-MXDP-TMHN,"Sweet Releaf Meds LLC","Sweet Releaf Meds LLC",Dispensary,ARDMORE,Carter,2024-08-29
DAAA-GUPT-WRZT,"Purple Moon Dispensary Inc","Purple Moon Sapulpa",Dispensary,SAPULPA,Creek,2023-11-27
DAAA-E9OF-Q7KM,"Chronic Culture LLC","Chronic Culture LLC",Dispensary,HOBART,Kiowa,2023-09-15
DAAA-ZXXT-SDDW,"Sp8 Services LLC","Rob and Sons Cannabis Company",Dispensary,SHAWNEE,Pottawatomie,2024-02-27
DAAA-FEZQ-SDBX,"beans green dispensary llc","beans green dispensary llc",Dispensary,THACKERVILLE,Love,2023-12-05
DAAA-NCAB-QI3C,"Cottonwood Creek Farms LLC","Buds Craft Cannabis Ardmore",Dispensary,Ardmore,Carter,2023-09-26
DAAA-G57G-2UDX,"Lake road farms Inc","Lake road farms Inc",Dispensary,SALLISAW,Sequoyah,2023-09-29
DAAA-VY3C-EOBD,"The Urban Pineapple LLC","HOUSE OF DANK DISPENSARY",Dispensary,"OKLAHOMA CITY",Oklahoma,2022-09-08
DAAA-4KP5-EL4Q,"gregory's discount medical LLC","Green Plus 5",Dispensary,MOORE,Cleveland,2023-11-28
DAAA-H2OG-LGYD,"High Voltage Cannabis Co LLC","High Voltage Cannabis Co LLC",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-12-05
DAAA-EJPF-SWX7,"Oklahoma Coughy Co. LLC","Oklahoma Coughy Company",Dispensary,EDMOND,Oklahoma,2022-12-14
DAAA-MSZN-4IS6,"1063 E 6TH LLC","Kush Gardens Store 3",Dispensary,OKMULGEE,Okmulgee,2024-03-09
DAAA-EYAA-D6IQ,"Hippy Solutions LLC","Hippy Solutions LLC",Dispensary,CHICKASHA,Grady,2023-10-31
DAAA-EKYY-6HBN,"APCO Cure, LLC","APCO Med",Dispensary,TULSA,Tulsa,2024-02-01
DAAA-LNLT-NATC,"Red River Dispensary LLC",Cannamed,Dispensary,DURANT,Bryan,2023-12-26
DAAA-VYQE-8IJP,"Canna-Cabana LLC","Lemon Cannabis",Dispensary,GLENPOOL,Creek,2024-05-24
DAAA-4KAW-B7NZ,"Honey Jane Farms LLC","Honey Jane",Dispensary,ARDMORE,Carter,2023-09-08
DAAA-N1FB-DK68,"Vertica Organics, LLC","Vertica Organics",Dispensary,STILLWATER,Payne,2023-10-23
DAAA-9HHW-FDZS,"little endo llc","little endo llc",Dispensary,Ardmore,Love,2023-10-11
DAAA-4J14-VXNV,"Fume Ventures Inc.","Eden Cannabis Co. II",Dispensary,JENKS,Tulsa,2023-08-07
DAAA-41QC-XBKT,"The Royal Tree LLC","Euphora Modern Wellness",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-09-19
DAAA-RGPG-50SW,"The Green Day LLP","The Green Day",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-02-24
DAAA-NKKB-AQSM,"Tallgrass Dispensary, LLC","Tallgrass Dispensary",Dispensary,TULSA,Tulsa,2023-12-13
DAAA-N1MW-KTYA,"Weed-Mart LLC.","Weedmart Cookson",Dispensary,Cookson,Cherokee,2023-09-20
DAAA-NKYO-ANLN,"Kings Reserves LLC","Kings Reserves",Dispensary,MCALESTER,Pittsburg,2023-08-04
DAAA-4KVO-ETYW,"The Dank Side Dispensary LLC","The Dank Side Dispensary LLC",Dispensary,NORMAN,Cleveland,2023-11-09
DAAA-VJEA-OZ7G,"The Bakery Cannabis Dispensary, LLC","White Barn Dispensary",Dispensary,BIXBY,Tulsa,2023-10-31
DAAA-EKAY-KQTZ,"MK's Cure it with Cannabis, LLC","MK's Cure it with Cannabis, LLC",Dispensary,MADILL,Marshall,2023-09-18
DAAA-MRDM-J3JH,"Good Grass Co LLC","Good Grass Co LLC",Dispensary,"Broken Bow",McCurtain,2023-03-15
DAAA-9OBJ-GK8Y,"Purple Moon Dispensary Inc","Purple Moon Coweta",Dispensary,Coweta,Wagoner,2024-09-29
DAAA-4YVY-R7EI,"TWCC, LLC","Tumbleweed Cannabis",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-01-12
DAAA-SPDS-PK1N,"13588 S HWY 169 LLC","Pipe Dreams Cannabis Co.",Dispensary,OOLOGAH,Rogers,2023-12-11
DAAA-F9TB-GR3O,"1220 LAWTON LLC","KUSH GARDENS STORE 8",Dispensary,LAWTON,Comanche,2024-02-13
DAAA-CWCO-XVCB,"bud green 420 llc","bud green 420 llc",Dispensary,Roff,Pontotoc,2023-10-23
DAAA-YYLT-36GO,"KUSH TRIPS LLC","KUSH TRIPS LLC",Dispensary,CATOOSA,Rogers,2024-02-01
DAAA-N1QU-PXZO,"Premium Plug llc","Premium Plug llc",Dispensary,TULSA,Tulsa,2024-01-14
DAAA-Q4HM-MG2P,"herbal legends cultivation llc","Herbal Legends Cannabis Stop",Dispensary,ACHILLE,Bryan,2023-07-18
DAAA-EKPY-X9HX,"Nature’s Leaf Dispensary LLC","Natures Leaf, Dispensary LLC",Dispensary,BIXBY,Tulsa,2023-11-03
DAAA-NJ5Z-FV5D,"Prairie Drive, LLC","Mosaic Plus",Dispensary,"Oklahoma City",Oklahoma,2023-11-29
DAAA-QBMS-VDGE,"20 Antlers Farm Group LLC","20 Antlers Farm Group LLC",Dispensary,ANTLERS,Choctaw,2022-10-27
DAAA-RA4D-F6GI,"DESERT EXTRACTS LLC","SLOWBURN - EL RENO",Dispensary,"EL RENO",Canadian,2024-05-17
DAAA-NYLL-0CGW,"Noble Cannabis Co. Dispensary","Noble Cannabis Co. Dispensary",Dispensary,NORMAN,Cleveland,2024-03-28
DAAA-EJXU-HARW,"Nature's Fix Dispensary LLC",NFX,Dispensary,Chouteau,Mayes,2024-02-23
DAAA-RW3T-S9JT,"Glow Ventures, LLC","Canna Cure Dispensary II",Dispensary,STILLWATER,Payne,2023-07-14
DAAA-O9JL-J7F5,"LOKOL SMOKEHOUSE","Bigfoot Cannabis Company",Dispensary,WAGONER,Wagoner,2023-12-05
DAAA-EKPG-RPJM,"GOOD CROPS DISPENSARY LLC","GOOD CROPS DISPENSARY",Dispensary,ANTLERS,Pushmataha,2023-09-22
DAAA-69U4-EIVU,"The Green Gremlin LLC","Humboldt Cannabis II",Dispensary,Dewey,Washington,2023-11-08
DAAA-V1ZN-L9PB,"C.A Green LLC","C.A Green LLC",Dispensary,"Midwest City",Oklahoma,2024-01-14
DAAA-4JMA-GTDP,"Irie Okie, LLC","Irie Okie",Dispensary,AFTON,Ottawa,2023-09-27
DAAA-NKYQ-X7ZA,"Red River Remedies, LLC","Kanna Kures Hochatown",Dispensary,"BROKEN BOW",McCurtain,2023-12-20
DAAA-71JA-FNZE,"Intercoastal River Holdings LLC","Intercoastal River Holdings LLC",Dispensary,BLANCHARD,Grady,2023-09-06
DAAA-NYTW-FIIL,"BIG BUD DISPENSARY INC","Big Buds Natural Releaf",Dispensary,OOLOGAH,Rogers,2023-12-23
DAAA-N1Z8-KBND,"Wild Herb Wellness LLC","Wild Herb Wellness LLC",Dispensary,"BROKEN BOW",McCurtain,2024-02-02
DAAA-UY5B-BCTZ,"Oklahoma Station Dispensary LLC","Oklahoma Station Dispensary LLC",Dispensary,"PARK HILL",Cherokee,2023-07-17
DAAA-4JOU-I4ZA,"Tahlequah Primetime, LLC","Tahlequah Primetime, LLC",Dispensary,TAHLEQUAH,Cherokee,2024-01-14
DAAA-VKJH-UMVB,"420 Enterprises LLC","The Releaf Clinic",Dispensary,LAWTON,Comanche,2024-04-18
DAAA-ZECL-1XWX,"Simply Toke, LLC","Bodega Boyz Lewis",Dispensary,TULSA,Tulsa,2024-05-24
DAAA-NKCQ-O2FL,"NATURAL STATE DISPENSARY, INC.","Natural State Dispensary Inc.",Dispensary,Pocola,"Le Flore",2024-04-10
DAAA-QYSZ-WDDU,"Phoenix Disp LLC","Pheonix Disp LLC",Dispensary,MUSTANG,Canadian,2023-09-26
DAAA-QMS3-8ZPT,"Rushing Green LLC","Rushing Green LLC",Dispensary,"RUSH SPRINGS",Grady,2023-05-24
DAAA-B3II-CZ3L,"The Essential Green Cannabis Co. LLC","The Essential Green Cannabis Co",Dispensary,"Oklahoma City",Oklahoma,2023-11-24
DAAA-4YGW-XLKV,"Top Strainz Dispensary LLC","Top Strainz Dispensary LLC",Dispensary,HENNESSEY,Kingfisher,2024-05-15
DAAA-VKQ6-XSDE,"Jun Green, LLC","Jun Green, LLC",Dispensary,"Oklahoma City",Oklahoma,2024-09-20
DAAA-AH4T-0ZZA,"Mama Janes' Jungle LLC","Mama Janes' Jungle LLC",Dispensary,TULSA,Tulsa,2024-06-01
DAAA-339C-AEJ7,"710 Enterprises, LLC","Releaf Clinic West",Dispensary,LAWTON,Comanche,2023-11-02
DAAA-KTUT-Q43K,"McHenry Goldberg Holdings, LLC","GOLDIES 2",Dispensary,ALTUS,Jackson,2023-03-28
DAAA-VKYB-NN2A,"The Laughing Hyena Dispensary, LLC","The Laughing Hyena Dispensary",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-05-31
DAAA-VKXS-3MHA,"Simply Green Farmacy LLC","Simply Green Farmacy LLC",Dispensary,STILLWATER,Payne,2023-12-11
DAAA-VYAZ-YNGO,"Sommet Ventures Inc.","Eden Cannabis Co.",Dispensary,OKMULGEE,Okmulgee,2024-05-17
DAAA-NKFX-SWTS,"ANP INVESTMENTS LLC","Steady Eddi 3",Dispensary,NORMAN,Cleveland,2023-09-26
DAAA-YG8N-C8JS,"D-LUXE DISPENSARY LLC","VAPOR HERBS EXPRESS",Dispensary,SAPULPA,Creek,2023-08-21
DAAA-VKSF-NQRU,"Sommet Ventures Inc.","Nirvana Cannabis Dispensary",Dispensary,TULSA,Tulsa,2024-04-20
DAAA-EJCQ-4GAF,"Cowboy Cannabis Dispensary, LLC","Cowboy Cannabis Dispensary",Dispensary,STILLWATER,Payne,2024-03-30
DAAA-EEWT-QAFE,"Space High Dispensary LLC","Space High Dispensary LLC",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-08-30
DAAA-LBJ6-XZUD,"Archipelago Operations, LLC","Archipelago Operations",Dispensary,Coyle,Logan,2023-08-07
DAAA-VK5L-YTPB,"Good People Investments LLC","STASH Cannabis Company",Dispensary,"Oklahoma City",Oklahoma,2024-08-08
DAAA-GBXB-ASBV,"Puffy Investment Inc","Puffy Investment Inc",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-12-26
DAAA-4J2H-AIT5,"Mota Express, LLC","Mota Express, LLC",Dispensary,WAGONER,Wagoner,2023-11-02
DAAA-NKLR-TJCD,"DAJ CLASSEN LLC","Bloom Cannabis Co.",Dispensary,"OKLAHOMA CITY",Oklahoma,2022-08-08
DAAA-PSIF-U1YI,"Bryan Kugel Farms LLC","Hideaway Farms Dispensary",Dispensary,TONKAWA,Kay,2023-10-26
DAAA-NJVE-T1PL,"Vertica Organics, LLC","Vertica Organics",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-10-23
DAAA-OSR6-BDLC,"405 Budz South LLC","405 Budz South LLC",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-01-01
DAAA-XNVT-QLUI,"Blue Bodark, LLC",Falcanna,Dispensary,Edmond,Oklahoma,2023-11-17
DAAA-NKGJ-LTEB,"TGIC Oklahoma, LLC","TGIC Oklahoma, LLC",Dispensary,BLANCHARD,Grady,2022-11-03
DAAA-VC1C-MFBV,"Doctor Releaf Ponca City LLC","Doctor Releaf Ponca City",Dispensary,"PONCA CITY",Kay,2023-07-25
DAAA-OAAF-6ZEY,"921 Enid LLC","Kush Gardens Store 9",Dispensary,ENID,Garfield,2024-02-24
DAAA-57VT-APLF,"chras gonga farms llc","chras gonga farms llc",Dispensary,ARDMORE,Carter,2024-05-31
DAAA-F1AO-3LTJ,"Kisswani Novelties, LLC","Kisswani Novelties, LLC",Dispensary,"Oklahoma City",Oklahoma,2023-12-15
DAAA-69UX-MLCL,"60 Acre Woods Dispensary LLC","Stability Cannabis D19626",Dispensary,ADA,Pontotoc,2023-09-25
DAAA-4J43-P1W9,"Nature Cures LLC","Nature Cures LLC",Dispensary,tulsa,Tulsa,2024-03-14
DAAA-NJYQ-PIKC,"Funny Farms Dispensary LLC","Funny Farms Dispensary",Dispensary,"Oklahoma City",Oklahoma,2024-04-10
DAAA-I3KG-F1YD,"Andrew Whitlow","Buds of Glory",Dispensary,IDABEL,McCurtain,2023-10-02
DAAA-INE4-OOOZ,"179 South 122nd Holdings LLC","179 South 122nd Holdings LLC",Dispensary,MOYERS,Pushmataha,2023-01-13
DAAA-RF3O-Q9VN,"Divine Ventures Corp","Fabulous Cannabis Co",Dispensary,EDMOND,Oklahoma,2023-11-27
DAAA-T9VF-SZ6M,"Bloomco Mustang LLC","Bloom Cannabis Co. Mustang",Dispensary,MUSTANG,Canadian,2023-10-31
DAAA-VKJ1-MWIW,"The Green Zone, LLC","The Green Zone",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-09-13
DAAA-VKCS-WPPS,"BLOOMS & BUDS LLC","BLOOMS & BUDS LLC",Dispensary,SALINA,Mayes,2023-08-07
DAAA-IX0G-5EIC,Hypnotic's,Hypnotic's,Dispensary,TAHLEQUAH,Cherokee,2023-11-14
DAAA-4K86-KFU2,"GVT Group Ltd. Co.","Waves Cannabis Company",Dispensary,"Oklahoma City",Oklahoma,2023-09-12
DAAA-NJQW-8IQS,"OklaDispo Fox Lake, LLC","The Peak Edmond Dispensary",Dispensary,EDMOND,Oklahoma,2023-12-14
DAAA-NYBA-I7CB,"Red River Dispensary LLC",CanaMed,Dispensary,CALERA,Bryan,2023-12-13
DAAA-4YNY-NSUR,"21 Garnett Group, LLC","21 Garnett Group, LLC",Dispensary,TULSA,Tulsa,2024-03-07
DAAA-4JQS-PSBD,"Super High LLC","Super High",Dispensary,"Oklahoma City",Oklahoma,2024-04-24
DAAA-XUKB-6RTB,"AAA Retail LLC","Happy Bud Dispensary",Dispensary,ADA,Pontotoc,2023-07-25
DAAA-N1KJ-6G5S,"A Better Solution Unlimited, LLC","A Better Solution Unlimited, LLC",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-05-24
DAAA-LNOX-U7U6,"1705 KG El Reno LLC","Kush Gardens Store 10",Dispensary,"EL RENO",Canadian,2024-05-24
DAAA-NKGE-QTHF,"Lit CC3, LLC","Lit Cannabis Club 3",Dispensary,"Oklahoma City",Oklahoma,2024-02-22
DAAA-SU5V-PFC6,"mr frosty budz llc","mr frosty budz llc",Dispensary,MANNSVILLE,Johnston,2024-02-27
DAAA-E1T0-VJOM,"Scalable Farms, LLC","Scalable Farms",Dispensary,LINDSAY,Garvin,2023-11-28
DAAA-NNCE-QBXE,"River Green Farm Group LLC","River Green Farm Group LLC",Dispensary,SAWYER,Choctaw,2022-12-14
DAAA-EJK2-N5DS,"JR & MP Processing LLC","JR & MP Processing LLC",Dispensary,ELGIN,Comanche,2024-01-02
DAAA-H1SE-HLIV,"MGE llc","The Grinder Dispensary",Dispensary,"ELK CITY",Beckham,2023-11-01
DAAA-SVBF-FPNR,"Blue Bodark, LLC",Falcanna,Dispensary,Guthrie,Logan,2023-10-23
DAAA-VY5U-AWKO,"Doc Greens LLC","Doc Greens LLC",Dispensary,Stillwater,Payne,2024-02-09
DAAA-E1QX-WTNC,"Classen Apothecare, LLC","Classen Apothecare",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-09-14
DAAA-VKKE-OMZF,"Mindfull Medical, LLC","Mindfull Medical, LLC",Dispensary,TULSA,Tulsa,2024-05-24
DAAA-NYTL-8DDR,"Elite Cannabis Company LLC","Elite Cannabis Company LLC",Dispensary,SEMINOLE,Seminole,2023-10-31
DAAA-4YIM-LDQE,"Webb Wellness INC","Hemp Hill Dispensary",Dispensary,"ELK CITY",Beckham,2023-12-27
DAAA-WQDL-IEVT,"3G KUSH DISPENSARY","3G KUSH DISPENSARY",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-01-09
DAAA-BFZG-X1IS,"DGK Interprise LLC","Okie Skunk Farms",Dispensary,Moore,Oklahoma,2024-01-01
DAAA-V1Y6-8SZF,"kabloom flowers and more llc","kabloom flowers and more llc",Dispensary,ARDMORE,Carter,2023-11-15
DAAA-DIA8-PJIN,"Elite Cannabis Company LLC","Elite Cannabis Company LLC",Dispensary,WETUMKA,Hughes,2024-01-11
DAAA-KJIU-KQM2,"Ricch Hippee Wellness LLC","Ricch Hippee Wellness LLC",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-10-09
DAAA-4JIK-PXDD,"native leaf dispensary llc","Native Leaf Dispensary llc",Dispensary,"Del City",Oklahoma,2024-08-04
DAAA-VYSW-FRCK,"Well Greens OKC May LLC","Hyde Cannabis",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-08-04
DAAA-USL0-MNJM,"MAGIC CITY CANNABIS CORPORATION","MAGIC CITY CANNABIS CORPORATION",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-05-11
DAAA-EYT9-TN5M,"Canna Land LLC","CANNA LAND LLC",Dispensary,"BROKEN ARROW",Tulsa,2024-01-11
DAAA-XE7M-4JTN,"Primal Branch, LLC","Primal Branch, LLC",Dispensary,MUSKOGEE,Muskogee,2023-07-05
DAAA-O3IV-OXK1,"GLUX Capital Holdings LLC","OK Wellness Centers",Dispensary,Antlers,Pushmataha,2023-07-31
DAAA-UEH7-GWOJ,"2100 S Broadway LLC","Edmond Kush House",Dispensary,Edmond,Oklahoma,2024-10-30
DAAA-N1IT-DFMW,"Lewis Global, LLC","Head Shop",Dispensary,EUFAULA,McIntosh,2023-12-20
DAAA-9CMS-RSSL,"Stoney's Joint, LLC","Stoney's Joint, LLC",Dispensary,TAHLEQUAH,Cherokee,2023-11-06
DAAA-GUGC-RTQG,"Good Crops Dispensary 2, LLC","Good Crops Dispensary 2, LLC",Dispensary,HUGO,Choctaw,2023-10-20
DAAA-4KAJ-13TE,"OklaDispo Quail Springs, LLC","The Peak Quail Springs Dispensary",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-12-14
DAAA-NYIJ-NBUV,"Meosha Maxwell","Mary Jane’s Treehouse",Dispensary,TULSA,Tulsa,2024-05-03
DAAA-41MR-ADII,"The High Road Dispensary, LLC","The High Road Dispensary",Dispensary,CHOCTAW,Oklahoma,2023-08-10
DAAA-HELI-IFXV,"KG Chickasha LLC","Kush Gardens Store 11",Dispensary,CHICKASHA,Grady,2024-05-10
DAAA-VYPH-MEEE,"Eufloria LLC","Eufloria LLC",Dispensary,TULSA,Tulsa,2023-09-15
DAAA-FQVQ-52LJ,"Sallisaw Natural Health LLC","Sallisaw Natural Health LLC",Dispensary,SALLISAW,Sequoyah,2023-10-24
DAAA-170R-DYNR,"DANK PLUG LLC","DANK PLUG LLC",Dispensary,"OKLAHOMA CITY",Canadian,2024-03-27
DAAA-EKDR-HQ0D,"Diamond Ventures Inc.","Nirvana Cannabis Dispensary II",Dispensary,TULSA,Tulsa,2024-05-22
DAAA-E11D-XZVX,"The Green Door Dispensary, LLC","The Green Door Dispensary, LLC",Dispensary,SHAWNEE,Pottawatomie,2024-03-15
DAAA-WWS1-WW1N,"Dragon Lily Dispensary LLC","Dragon Lily Dispensary LLC",Dispensary,TULSA,Tulsa,2024-04-18
DAAA-EJMU-SECB,"Sugar Shack So Cal LLC","Sugar Shack So Cal LLC",Dispensary,LAWTON,Comanche,2024-02-17
DAAA-N1ET-BJ3D,"Dimebag LLC","Green Flower Dispensary",Dispensary,TULSA,Tulsa,2024-02-17
DAAA-57AC-7JWU,"eph market place llc","eph market place llc",Dispensary,ARDMORE,Carter,2024-03-13
DAAA-V13L-QBKL,"Fume Ventures Inc.","Eden Cannabis Co. II",Dispensary,TULSA,Tulsa,2024-12-13
DAAA-QPR8-RHZM,"Weed-Mart LLC.","Weedmart Tenkiller State Park",Dispensary,VIAN,Sequoyah,2023-09-15
DAAA-4YMD-88OG,"Roland Natural Health LLC","Roland Natural Health",Dispensary,ROLAND,Sequoyah,2023-12-10
DAAA-4KEV-ASIK,"C&C Brothers LLC","Goldleaf Dispensary",Dispensary,WAYNOKA,Woods,2024-03-18
DAAA-EKJP-D3DH,"Green Country Health Initiative LLC",Inhal,Dispensary,TULSA,Tulsa,2024-01-13
DAAA-ZXGU-A95T,"True Bloom Retail, LLC","True Bloom Retail, LLC",Dispensary,Edmond,Logan,2023-10-03
