"License No.","Business Name",DBA,"License Type",City,County,Expiration
DAAA-SEK5-76ET,"HLT Investments, LLC","Happy Little Trees Dispensary",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-10-24
DAAA-FKFW-X60V,"Kind Origin Cannabis LLC","Kind Origin Cannabis LLC",Dispensary,ADA,Pontotoc,2023-12-19
DAAA-VK8W-YUOY,"The Growery LLC","The Growery",Dispensary,KETCHUM,Craig,2022-10-31
DAAA-NKSM-R3QP,"MED SHACK BY FLOWER THERAPY LLC","Flower Therapy",Dispensary,Thackerville,Love,2024-02-07
DAAA-EKX6-MNPZ,"GSO 23RD LLC","That One Place Dispensary",Dispensary,"Oklahoma City",Oklahoma,2024-03-28
DAAA-AKRC-M6UN,"The Greenhouse and Supply Company LLC","The Greenhouse Supply Company LLC",Dispensary,ANADARKO,Caddo,2023-07-06
DAAA-4YOH-2JZD,"CBK Enterprises LLC","Highway 2 Health",Dispensary,"Del city",Oklahoma,2024-03-29
DAAA-5PYL-Y9ZO,"Pirpich industries","Big Buds Natural Releaf",Dispensary,BIXBY,Tulsa,2023-07-06
DAAA-VJIQ-SRLP,"Navigator Life Services, Inc.","Ounce House Dispensary",Dispensary,MUSKOGEE,Muskogee,2023-11-07
DAAA-TQ9S-KNON,"Ziggy'z Medical Mean's LLC","Ziggy'z Medical Mean's LLC",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-02-28
DAAA-4KJK-HV5B,"Canna-Bliss LLC","Canna-Bliss LLC",Dispensary,Talihina,"Le Flore",2024-04-06
DAAA-NGOX-SNRE,"Nova Cannabis Company LLC","Nova Cannabis Company LLC",Dispensary,"Broken Bow",McCurtain,2023-10-03
DAAA-JI6H-RMYF,"NFUZE LLC","NFuze at Adair",Dispensary,Wyandotte,Ottawa,2023-12-07
DAAA-CUGW-O68B,"HOD, LLC","HALL OF DANK",Dispensary,GERONIMO,Comanche,2023-10-26
DAAA-W6BK-FT1X,"Blue Enterprises OKC II, Inc.","Lemonnade OKC Dispensary",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-05-11
DAAA-NY3H-WBSK,"Cannagrow LLC",PharmaCanna,Dispensary,"OKLAHOMA CITY",Oklahoma,2024-03-07
DAAA-4WZJ-GBHZ,"Rocky's Pot Shop Inc.","Rocky's Pot Shop Inc.",Dispensary,CHOCTAW,Oklahoma,2024-01-01
DAAA-2ANP-SFXO,"Exotic M and M Dispensary, LLC","Exotic M and M Dispensary, LLC",Dispensary,TULSA,Tulsa,2023-09-29
DAAA-N1LJ-WTVP,"Green Medical Patients LLC",Greendoctor420,Dispensary,"OKLAHOMA CITY",Cleveland,2024-04-20
DAAA-V1CJ-YJ9E,"918 Elevate LLC","918 Elevate",Dispensary,TULSA,Tulsa,2023-08-09
DAAA-VYGT-JKDX,"Aday Bolo Retail 1, LLC","Green Thumb Dispensary",Dispensary,Cornish,Jefferson,2024-03-28
DAAA-OSXD-LDXV,"Simply Grow Pharms LLC","Simply Grow Pharms LLC",Dispensary,COALGATE,Coal,2023-08-09
DAAA-DGQM-E24K,"G. S. Dispensary LLP","G. S. Dispensary",Dispensary,SEMINOLE,Seminole,2024-01-10
DAAA-VKDK-TCAA,"Yellow House Dispensary LLC","Yellow House Dispensary LLC",Dispensary,DURANT,Bryan,2024-03-24
DAAA-XH5T-95RJ,"Flower-On Productions, LLC","Flower Factory Fine Cannabis",Dispensary,ADA,Pontotoc,2024-02-01
DAAA-NYW0-8CKQ,"Stockham Holdings, Inc.","MJ Highway",Dispensary,TULSA,Tulsa,2024-04-11
DAAA-4YL3-TKUH,"SATA Management LLC","SATA Management LLC",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-01-25
DAAA-EKOO-OH9I,"Pura LLC","Pura Cannabis Collective",Dispensary,TULSA,Tulsa,2023-11-27
DAAA-N1CP-PWIP,"TJD Natural Supplements LLC","Cake Cannabis",Dispensary,TULSA,Tulsa,2023-10-25
DAAA-VZRW-2VN3,"Zepdro Dispensary, LLC","Zepdro Dispensary, LLC",Dispensary,HARRAH,Oklahoma,2023-09-15
DAAA-VYV4-WP9L,"GREEN DELIGHT LLC","GREEN DELIGHT LLC",Dispensary,"Oklahoma City",Oklahoma,2024-05-10
DAAA-87HN-ORFE,"MADD INVESTMENTS INC","MAD GAS",Dispensary,TULSA,Tulsa,2023-10-10
DAAA-NYYK-ZIAY,"Z&M, Inc.","GreenHub Cannabis Club",Dispensary,"BROKEN ARROW",Tulsa,2023-08-28
DAAA-L3F2-WX6E,"JONES DISPENSARY GROUP LLC","JONES DISPENSARY GROUP LLC",Dispensary,Yukon,Canadian,2024-02-01
DAAA-GVDC-17GL,"Big Daddy's Puff Palace Dispensary LLC","Big Daddy's Puff Palace Dispensary LLC",Dispensary,Claremore,Rogers,2024-04-19
DAAA-3DYA-W66C,"Mid-West Grass Station, LLC","Mid-West Grass Station, LLC",Dispensary,BRISTOW,Creek,2023-12-12
DAAA-DKTS-SQNW,"Mile Marker 5 Cannabis LLC","Mile Marker 5 Cannabis, LLC",Dispensary,Colbert,Bryan,2023-12-19
DAAA-NKGI-3CRN,"HERBAL JUNCTION MARKET, LLC","Kind Love",Dispensary,TULSA,Tulsa,2024-02-24
DAAA-VJFE-G40D,"804 Campbell Ave Warner LLC","Pirate Cove Cannabis & Concentrates",Dispensary,Langley,Mayes,2024-12-19
DAAA-IHKY-DO1P,"Chronic Dispensary LLC","Chronic Dispensary LLC",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-01-10
DAAA-2NTX-VHDY,"OKAF, Inc","Apothecary Extracts",Dispensary,TULSA,Tulsa,2023-07-05
DAAA-VJMA-4WNK,"Okies High Hopes Inc","Okies High Hopes",Dispensary,CLAREMORE,Rogers,2023-12-06
DAAA-NYJX-NDYO,"THE COMILLA CORPORATION","STONERS DISPENSARY",Dispensary,STILLWATER,Payne,2023-11-10
DAAA-MNEY-ELIT,"The Station Cannabis Company LLP","The Station Cannabis Company",Dispensary,POCOLA,"Le Flore",2023-07-05
DAAA-RQBZ-BNPM,"Grass Station Medicinals LLC","Grass Station Medicinals LLC",Dispensary,MCALESTER,Pittsburg,2023-10-19
DAAA-XZ8V-OJPZ,"The Power Plant Dispensary, LLC","The Power Plant Dispensary, LLC",Dispensary,ENID,Garfield,2023-09-20
DAAA-QR67-AKSU,"Cloud 9 Wellness Dispensary 2 LLC","Cloud 9 Wellness Dispensary 2 LLC",Dispensary,Norman,Cleveland,2023-09-29
DAAA-DLJP-AUQP,"Big Daddy's Marijuana Dispensary, Inc,","Big Daddy's Marijuana Dispensary",Dispensary,ENID,Garfield,2022-05-12
DAAA-RNUQ-WEI1,"Canopy Heights LLC","Bud Connect",Dispensary,POTEAU,"Le Flore",2023-08-25
DAAA-VJ7X-VVPV,420/7,420/7,Dispensary,"LOCUST GROVE",Mayes,2023-04-18
DAAA-BIZ4-JOZH,"Canna Cure Dispensary LLC","Canna Cure Dispensary",Dispensary,LAWTON,Comanche,2023-10-23
DAAA-KR8G-HX3B,"Alternative Ag LLC","Alternative Ag LLC",Dispensary,Wilburton,Latimer,2024-05-05
DAAA-E15X-DIKI,"CannVest Group, LLC","Mango Cannabis",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-08-24
DAAA-NYAR-D13D,"Altcare 8 LLC","Fire Leaf 8",Dispensary,Norman,Cleveland,2023-08-04
DAAA-NKEC-VYN9,"CannaFuture,LLC","CannaFuture,LLC",Dispensary,Madill,Marshall,2023-12-20
DAAA-B8FC-HFN0,"BURNETT FARMS, LLC","BURNETT FARMS, LLC DBA REEFINERY",Dispensary,STILLWATER,Payne,2023-10-05
DAAA-NJRV-M7SV,"405 OGD LLC","B'S OKLAHOMA GREEN DISPENSARY",Dispensary,Blanchard,McClain,2023-11-10
DAAA-EK60-0I0A,"Organic Wellness, LLC","Organic Wellness, LLC",Dispensary,DURANT,Bryan,2023-03-07
DAAA-XTUH-ZCCE,"Southern High Maintenance llc","Southern High Maintenance",Dispensary,Panama,"Le Flore",2023-07-31
DAAA-NKEZ-K8HZ,"Pot Luck Dispensary LLC","Pot Luck Dispensary LLC",Dispensary,WATONGA,Blaine,2023-09-15
DAAA-IYNW-8ZCN,"Flower Power Cannabis One LLC","Flower Power Cannabis Co.",Dispensary,MOORE,Cleveland,2023-02-01
DAAA-QMVO-REJI,"TERESA BILYEU INC","TEXOMA TUMBLEWEED",Dispensary,THACKERVILLE,Love,2023-11-15
DAAA-4JUI-R0IQ,"Hi Octane Cannabis Co. LLC","Hi Octane Cannabis Co. LLC",Dispensary,SPIRO,"Le Flore",2023-08-17
DAAA-MKO0-BVLV,"GREEN CREEK ENTERPRISES INC","GREEN CREEK DISPENSARY",Dispensary,INOLA,Rogers,2023-12-11
DAAA-EPN3-2TVV,"Beyond The Pines LLC","Beyond The Pines Dispensary",Dispensary,SHAWNEE,Pottawatomie,2024-03-22
DAAA-UXTB-DGHS,"Deep Fork Cannabis, LLC","Deep Fork Cannabis, LLC",Dispensary,OKEMAH,Okfuskee,2023-08-03
DAAA-NKYT-6GLH,"Herb House Dispensary LLC","Herb House Dispensary",Dispensary,ENID,Garfield,2024-01-10
DAAA-OGJJ-UE2I,"Love Budz LLC","Love Budz",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-01-02
DAAA-HDUY-EDES,"Good Medicine Cannabis Company. LLC","Good Medicine Dispensary",Dispensary,Weatherford,Custer,2024-03-31
DAAA-EKYO-BYHW,"Top Shelf Medicinals, LLC","Top Shelf Medicinals, LLC",Dispensary,SALLISAW,Sequoyah,2024-04-11
DAAA-4K42-BQXD,"Two T's Trees LLC","Two T's Trees LLC",Dispensary,HOOKER,Texas,2023-08-08
DAAA-EJBA-OZFU,"OHG, LLC","OHG, LLC",Dispensary,TULSA,Tulsa,2024-01-04
DAAA-4KHG-UNQP,"Med Bag LLC","Med Bag",Dispensary,CLAREMORE,Rogers,2023-09-12
DAAA-D6SS-ZCMM,"Wavvvvvy Dispensary Corp","Wavvvvvy Dispensary",Dispensary,lindsay,Garvin,2024-05-30
DAAA-U6J3-SKWI,"Alvatraz Cannabis Company llc","Alvatraz Cannabis Company llc",Dispensary,ALVA,Woods,2023-11-01
DAAA-V1OI-MPVY,"Sequoyah Green, LLC","Hometown Stash",Dispensary,COLCORD,Delaware,2024-03-13
DAAA-SQZL-MBFS,"Golden Bloom, LLC","Golden Bloom",Dispensary,CHOCTAW,Choctaw,2024-02-24
DAAA-VK5M-WPMO,"Foreva Buzzin Ltd. Co.","Foreva Buzzin Ltd. Co.",Dispensary,WAGONER,Wagoner,2024-03-10
DAAA-N1Y4-QI2T,"Electra Brands LLC",Electraleaf,Dispensary,"OKLAHOMA CITY",Oklahoma,2023-08-24
DAAA-V1U4-DXSV,"DOK CORPORATION","DANK CANNABIS DISPENSARY",Dispensary,TULSA,Tulsa,2023-12-11
DAAA-VJV7-YD48,"Oklahoma Natural Cures 3, LLC","High Society Dispensary 3",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-05-05
DAAA-MW1G-CKMI,"JMP Agricultural Farms of North Eastern Oklahoma INC.","Grand Lake Cannabis",Dispensary,GROVE,Delaware,2023-08-21
DAAA-41OD-BRYX,"Harvest Health Dispensary LLC","Harvest Health Dispensary",Dispensary,"SAND SPRINGS",Tulsa,2023-09-15
DAAA-PLKB-UPW4,"Kush House Enterprises LLC","Moore Kush House",Dispensary,MOORE,Cleveland,2023-07-14
DAAA-E2WC-2JFN,"Dobbies_Harrah LLC",Doobies_Harrah,Dispensary,HARRAH,Oklahoma,2023-09-25
DAAA-YC3S-OD2E,"Rain Dance Cannabis, LLC","Smokin Savage",Dispensary,"OKLAHOMA CITY",Cleveland,2023-08-09
DAAA-VJI2-YYVV,"Kenosha Leasing LLC","Kenosha Leasing LLC",Dispensary,"BROKEN ARROW",Tulsa,2023-11-15
DAAA-CKUR-UXHK,"Petro Dispensary LLC","Petro Dispensary LLC",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-09-27
DAAA-AHOA-T5GD,"Cannabless Retail 7, LLC","Cannabless Retail 7 LLC",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-01-08
DAAA-N1IL-BIJ6,"Okie Brothers Pharm LLC","Okie Brothers Pharm LLC",Dispensary,SAPULPA,Creek,2023-12-04
DAAA-EK0H-V2UI,"The Green Onion Dispensary LLC","The Green Onion Dispensary",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-02-01
DAAA-VKHG-8AZI,"Premium Marketing , LLC.","SilverLeaf Senior Cannabis",Dispensary,"OKLAHOMA CITY",Oklahoma,2024-04-25
DAAA-NJNQ-5XKZ,"Nature's Cure Dispensary II LLC","Nature's Cure Dispensary II LLC",Dispensary,"OKLAHOMA CITY",Oklahoma,2023-10-17
DAAA-13GE-K2SB,"Native Harvest, LLC","Native Harvest LLC",Dispensary,CHICKASHA,Grady,2024-03-29
DAAA-ZJQN-22MY,"Emerald Fire May llc","Emerald Fire May llc",Dispensary,EDMOND,Oklahoma,2023-12-05
DAAA-XV2W-GHRO,"Loki's Leaf LLC","Lokis Leaf LLC",Dispensary,Ketchum,Craig,2024-02-01
DAAA-VY5Z-5KIE,"405 Gas Station 1, LLC","405 Gas Station 1, LLC",Dispensary,"MIDWEST CITY",Oklahoma,2023-09-14
DAAA-4KWR-4ORB,"Big Bag LLC","Jeni Jane's Sperry",Dispensary,SPERRY,Tulsa,2024-01-10
